Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.564E+01, 5.971E+02, 2.757E+02, 5.009E+02, 3.987E+02, 1.401E+02, 7.828E+01, 0.000E+00, 7.589E+03, 7.334E+00, 8.215E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    1, 1.810E+01, 5.130E+02, 2.724E+02, 4.672E+02, 4.112E+02, 1.357E+02, 5.253E+01, 0.000E+00, 7.732E+03, 9.819E+00, 8.120E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    2, 1.954E+01, 6.062E+02, 2.752E+02, 4.647E+02, 4.183E+02, 1.360E+02, 4.770E+01, 0.000E+00, 7.430E+03, 1.368E+01, 1.013E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    3, 1.898E+01, 5.134E+02, 2.773E+02, 4.558E+02, 4.159E+02, 1.351E+02, 4.632E+01, 0.000E+00, 7.775E+03, 1.843E+01, 7.683E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    4, 2.223E+01, 6.306E+02, 2.779E+02, 4.871E+02, 4.054E+02, 1.311E+02, 8.694E+01, 0.000E+00, 7.446E+03, 1.450E+01, 9.220E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    5, 1.128E+01, 5.132E+02, 2.866E+02, 5.079E+02, 3.853E+02, 1.418E+02, 3.730E+01, 0.000E+00, 7.990E+03, 2.661E+01, 5.241E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    6, 1.384E+01, 6.001E+02, 2.872E+02, 3.960E+02, 3.783E+02, 1.328E+02, 1.434E+01, 0.000E+00, 7.535E+03, 3.710E+01, 1.029E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    7, 1.664E+01, 5.092E+02, 2.887E+02, 4.197E+02, 3.921E+02, 1.334E+02, 1.388E+01, 0.000E+00, 7.769E+03, 4.289E+01, 8.393E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    8, 1.532E+01, 5.690E+02, 2.888E+02, 4.388E+02, 4.030E+02, 1.323E+02, 1.903E+01, 0.000E+00, 7.602E+03, 4.505E+01, 9.111E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
    9, 1.707E+01, 5.330E+02, 2.845E+02, 4.603E+02, 4.051E+02, 1.335E+02, 2.857E+01, 0.000E+00, 7.716E+03, 3.420E+01, 8.124E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
   10, 1.425E+01, 6.410E+02, 2.761E+02, 4.561E+02, 3.786E+02, 1.355E+02, 2.194E+01, 0.000E+00, 7.243E+03, 2.495E+01, 1.233E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
   11, 2.108E+01, 5.220E+02, 2.690E+02, 4.159E+02, 3.875E+02, 1.334E+02, 1.576E+01, 0.000E+00, 7.609E+03, 3.422E+01, 1.016E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
   12, 2.152E+01, 6.464E+02, 2.724E+02, 3.966E+02, 3.927E+02, 1.326E+02, 1.164E+01, 0.000E+00, 6.987E+03, 4.009E+01, 1.524E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.042E+04
