s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.5303064E-005,-1.2685425E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5304332E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003252E+000, 4.0454399E+001,-1.5922786E+001, 5.1419181E-001,-1.7443945E-001,-7.3404010E-002, 0.0000000E+000, 0.0000000E+000, 2.4263484E+001, 2.4797961E+001, 0.0000000E+000, 1.0943814E-003, 0.0000000E+000
 2.0021517E+000, 9.8554679E+001,-3.6565368E+001, 3.8381800E-001,-2.8818259E-001,-2.2622469E-001, 0.0000000E+000, 0.0000000E+000, 6.1974891E+001, 6.1858722E+001, 0.0000000E+000, 2.2183432E-003, 0.0000000E+000
 3.0010200E+000, 1.1494911E+002,-4.3026087E+001,-7.3969659E+001,-3.8572706E-001,-2.6986555E-001, 0.0000000E+000, 0.0000000E+000,-2.2169260E+000,-2.7022283E+000, 0.0000000E+000, 2.4491607E-003, 0.0000000E+000
 4.0000114E+000, 1.1743395E+002,-4.3762037E+001,-7.3194403E+001,-3.6622194E-001,-2.6867766E-001, 0.0000000E+000, 0.0000000E+000, 3.3602038E-001,-1.5738520E-001, 0.0000000E+000, 2.4826344E-003, 0.0000000E+000
 5.0012870E+000, 1.2078873E+002,-4.5230757E+001,-7.1473511E+001,-3.6340742E-001,-2.7381368E-001, 0.0000000E+000, 0.0000000E+000, 3.8715244E+000, 3.4472435E+000, 0.0000000E+000, 2.4872221E-003, 0.0000000E+000
 6.0017400E+000, 1.1772937E+002,-4.4066449E+001,-7.4403358E+001,-3.4933635E-001,-2.6986849E-001, 0.0000000E+000, 0.0000000E+000,-8.3044452E-001,-1.3596439E+000, 0.0000000E+000, 2.4878443E-003, 0.0000000E+000
 7.0009818E+000, 1.1752613E+002,-4.3955355E+001,-7.1227913E+001,-3.6643171E-001,-2.6689753E-001, 0.0000000E+000, 0.0000000E+000, 2.0804156E+000, 1.7095304E+000, 0.0000000E+000, 2.4879284E-003, 0.0000000E+000
 8.0015879E+000, 1.2095019E+002,-4.5425106E+001,-7.8870677E+001,-3.7841465E-001,-2.7530141E-001, 0.0000000E+000, 0.0000000E+000,-3.6840572E+000,-3.9993059E+000, 0.0000000E+000, 2.4879397E-003, 0.0000000E+000
 9.0019064E+000, 1.1685708E+002,-4.3763530E+001,-7.2698746E+001,-3.7118853E-001,-2.6583159E-001, 0.0000000E+000, 0.0000000E+000, 1.1711714E-001,-2.4222104E-001, 0.0000000E+000, 2.4879413E-003, 0.0000000E+000
 1.0000186E+001, 1.1752749E+002,-4.4163975E+001,-7.9095255E+001,-3.9102557E-001,-2.6723863E-001, 0.0000000E+000, 0.0000000E+000,-5.9148985E+000,-6.3900001E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.1000583E+001, 1.2107782E+002,-4.5297992E+001,-7.0416222E+001,-3.8408822E-001,-2.7186745E-001, 0.0000000E+000, 0.0000000E+000, 5.0935389E+000, 4.7076537E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.2000224E+001, 1.1824015E+002,-4.4370552E+001,-7.4296905E+001,-3.6952797E-001,-2.7234511E-001, 0.0000000E+000, 0.0000000E+000,-6.6230888E-001,-1.0691755E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.3001248E+001, 1.1794443E+002,-4.4034490E+001,-7.7793560E+001,-3.6210656E-001,-2.6927814E-001, 0.0000000E+000, 0.0000000E+000,-4.1673525E+000,-4.5150018E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.4001352E+001, 1.1944001E+002,-4.4860640E+001,-7.2788806E+001,-3.5100290E-001,-2.6993764E-001, 0.0000000E+000, 0.0000000E+000, 1.5604457E+000, 1.1696245E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
 1.5000000E+001, 1.1712734E+002,-4.3814534E+001,-6.6958098E+001,-3.8325081E-001,-2.6691060E-001, 0.0000000E+000, 0.0000000E+000, 6.1340922E+000, 5.7045507E+000, 0.0000000E+000, 2.4879415E-003, 0.0000000E+000
