Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.247E+01, 3.247E+02, 1.985E+02, 4.524E+02, 2.276E+02, 1.163E+02, 8.826E+01, 0.000E+00, 3.761E+03, 7.751E+00, 4.404E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    1, 1.387E+01, 3.112E+02, 1.551E+02, 3.771E+02, 2.311E+02, 1.209E+02, 6.845E+01, 0.000E+00, 3.596E+03, 8.412E+00, 7.480E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    2, 1.613E+01, 3.128E+02, 2.001E+02, 4.030E+02, 2.379E+02, 1.241E+02, 5.875E+01, 0.000E+00, 3.732E+03, 9.573E+00, 5.355E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    3, 1.600E+01, 3.218E+02, 2.040E+02, 3.828E+02, 2.360E+02, 1.240E+02, 5.791E+01, 0.000E+00, 3.669E+03, 1.077E+01, 6.077E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    4, 1.832E+01, 3.368E+02, 1.965E+02, 4.101E+02, 2.371E+02, 1.138E+02, 9.603E+01, 0.000E+00, 3.558E+03, 9.317E+00, 6.535E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    5, 9.886E+00, 2.984E+02, 1.974E+02, 4.235E+02, 2.066E+02, 1.209E+02, 4.633E+01, 0.000E+00, 3.832E+03, 1.860E+01, 4.760E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    6, 1.132E+01, 3.110E+02, 2.037E+02, 3.672E+02, 2.309E+02, 1.371E+02, 1.701E+01, 0.000E+00, 3.743E+03, 2.884E+01, 5.795E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    7, 1.445E+01, 3.177E+02, 2.036E+02, 3.461E+02, 2.225E+02, 1.417E+02, 1.707E+01, 0.000E+00, 3.703E+03, 3.503E+01, 6.281E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    8, 1.431E+01, 3.003E+02, 2.012E+02, 3.743E+02, 2.298E+02, 1.380E+02, 1.831E+01, 0.000E+00, 3.760E+03, 3.488E+01, 5.584E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
    9, 1.675E+01, 3.285E+02, 2.040E+02, 3.734E+02, 2.344E+02, 1.236E+02, 2.981E+01, 0.000E+00, 3.580E+03, 2.479E+01, 7.140E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
   10, 1.133E+01, 3.177E+02, 1.951E+02, 4.140E+02, 2.148E+02, 1.172E+02, 2.287E+01, 0.000E+00, 3.558E+03, 1.805E+01, 7.611E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
   11, 1.612E+01, 3.049E+02, 1.803E+02, 3.365E+02, 2.197E+02, 1.255E+02, 1.489E+01, 0.000E+00, 3.335E+03, 2.821E+01, 1.068E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
   12, 1.888E+01, 2.973E+02, 1.802E+02, 3.341E+02, 2.258E+02, 1.280E+02, 1.171E+01, 0.000E+00, 3.448E+03, 3.262E+01, 9.530E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
   13, 1.786E+01, 3.039E+02, 1.435E+02, 3.052E+02, 2.191E+02, 1.241E+02, 1.324E+01, 0.000E+00, 3.229E+03, 3.347E+01, 1.240E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 5.630E+03
