,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2023-01-30T20:58:02.325+03:00,   0.274E-01,   0.02739,   0.962E+01
      2,2023-01-30T20:58:03.153+03:00,   0.274E-01,   0.05477,   0.105E+02
      3,2023-01-30T20:58:03.882+03:00,   0.274E-01,   0.08216,   0.112E+02
      4,2023-01-30T20:58:04.630+03:00,   0.274E-01,   0.10954,   0.119E+02
      5,2023-01-30T20:58:05.392+03:00,   0.274E-01,   0.13693,   0.127E+02
      6,2023-01-30T20:58:06.159+03:00,   0.274E-01,   0.16432,   0.135E+02
      7,2023-01-30T20:58:06.915+03:00,   0.274E-01,   0.19170,   0.142E+02
      8,2023-01-30T20:58:07.701+03:00,   0.274E-01,   0.21909,   0.150E+02
      9,2023-01-30T20:58:08.468+03:00,   0.274E-01,   0.24648,   0.158E+02
     10,2023-01-30T20:58:09.234+03:00,   0.274E-01,   0.27386,   0.165E+02
     20,2023-01-30T20:58:16.940+03:00,   0.109E-01,   0.43679,   0.242E+02
     30,2023-01-30T20:58:24.401+03:00,   0.714E-02,   0.52705,   0.317E+02
     40,2023-01-30T20:58:31.691+03:00,   0.634E-02,   0.59522,   0.390E+02
     50,2023-01-30T20:58:39.019+03:00,   0.568E-02,   0.65272,   0.463E+02
     60,2023-01-30T20:58:46.418+03:00,   0.452E-02,   0.70169,   0.537E+02
     70,2023-01-30T20:58:53.732+03:00,   0.397E-02,   0.74415,   0.610E+02
     80,2023-01-30T20:59:01.038+03:00,   0.397E-02,   0.78387,   0.683E+02
     90,2023-01-30T20:59:08.436+03:00,   0.355E-02,   0.81980,   0.758E+02
    100,2023-01-30T20:59:15.858+03:00,   0.317E-02,   0.85454,   0.832E+02
    200,2023-01-30T21:00:30.021+03:00,   0.207E-02,   1.11342,   0.157E+03
    300,2023-01-30T21:01:44.093+03:00,   0.172E-02,   1.31118,   0.231E+03
    400,2023-01-30T21:02:57.902+03:00,   0.189E-02,   1.49468,   0.305E+03
    500,2023-01-30T21:04:11.831+03:00,   0.168E-02,   1.69322,   0.379E+03
    600,2023-01-30T21:05:25.382+03:00,   0.185E-02,   1.87705,   0.453E+03
    700,2023-01-30T21:06:39.024+03:00,   0.203E-02,   2.07261,   0.526E+03
    800,2023-01-30T21:07:52.228+03:00,   0.197E-02,   2.26962,   0.599E+03
    900,2023-01-30T21:09:05.622+03:00,   0.189E-02,   2.49622,   0.673E+03
   1000,2023-01-30T21:10:18.904+03:00,   0.194E-02,   2.69241,   0.746E+03
   1100,2023-01-30T21:11:32.509+03:00,   0.187E-02,   2.89249,   0.820E+03
   1200,2023-01-30T21:12:46.010+03:00,   0.183E-02,   3.07151,   0.893E+03
   1300,2023-01-30T21:13:59.711+03:00,   0.183E-02,   3.25484,   0.967E+03
   1400,2023-01-30T21:15:13.081+03:00,   0.222E-02,   3.45372,   0.104E+04
   1500,2023-01-30T21:16:26.593+03:00,   0.209E-02,   3.65466,   0.111E+04
   1600,2023-01-30T21:17:40.010+03:00,   0.186E-02,   3.86081,   0.119E+04
   1700,2023-01-30T21:18:53.913+03:00,   0.200E-02,   4.05977,   0.126E+04
   1800,2023-01-30T21:20:07.478+03:00,   0.220E-02,   4.26247,   0.133E+04
   1900,2023-01-30T21:21:21.317+03:00,   0.173E-02,   4.46766,   0.141E+04
   2000,2023-01-30T21:22:35.421+03:00,   0.198E-02,   4.63985,   0.148E+04
   2100,2023-01-30T21:23:49.415+03:00,   0.177E-02,   4.83349,   0.156E+04
   2200,2023-01-30T21:25:03.496+03:00,   0.214E-02,   5.02804,   0.163E+04
   2300,2023-01-30T21:26:17.837+03:00,   0.156E-02,   5.22118,   0.170E+04
   2400,2023-01-30T21:27:32.970+03:00,   0.201E-02,   5.38766,   0.178E+04
   2500,2023-01-30T21:28:47.131+03:00,   0.178E-02,   5.57822,   0.185E+04
   2600,2023-01-30T21:30:01.553+03:00,   0.215E-02,   5.76968,   0.193E+04
   2700,2023-01-30T21:31:16.568+03:00,   0.142E-02,   5.94590,   0.200E+04
   2800,2023-01-30T21:32:31.259+03:00,   0.208E-02,   6.12854,   0.208E+04
   2900,2023-01-30T21:33:46.015+03:00,   0.192E-02,   6.30558,   0.215E+04
   3000,2023-01-30T21:35:00.740+03:00,   0.190E-02,   6.50626,   0.223E+04
   3100,2023-01-30T21:36:15.351+03:00,   0.206E-02,   6.69574,   0.230E+04
   3200,2023-01-30T21:37:30.234+03:00,   0.185E-02,   6.89149,   0.238E+04
   3300,2023-01-30T21:38:45.241+03:00,   0.196E-02,   7.07570,   0.245E+04
   3400,2023-01-30T21:40:00.170+03:00,   0.186E-02,   7.26464,   0.253E+04
   3500,2023-01-30T21:41:15.250+03:00,   0.190E-02,   7.45313,   0.260E+04
   3600,2023-01-30T21:42:30.518+03:00,   0.178E-02,   7.65235,   0.268E+04
   3700,2023-01-30T21:43:45.751+03:00,   0.178E-02,   7.83052,   0.275E+04
   3800,2023-01-30T21:45:02.045+03:00,   0.172E-02,   8.01321,   0.283E+04
   3900,2023-01-30T21:46:18.085+03:00,   0.186E-02,   8.20534,   0.290E+04
   4000,2023-01-30T21:47:34.190+03:00,   0.176E-02,   8.39433,   0.298E+04
   4100,2023-01-30T21:48:50.024+03:00,   0.187E-02,   8.57902,   0.306E+04
   4200,2023-01-30T21:50:05.717+03:00,   0.201E-02,   8.76866,   0.313E+04
   4300,2023-01-30T21:51:22.086+03:00,   0.181E-02,   8.95604,   0.321E+04
   4400,2023-01-30T21:52:37.995+03:00,   0.181E-02,   9.13657,   0.328E+04
   4500,2023-01-30T21:53:53.664+03:00,   0.173E-02,   9.31470,   0.336E+04
   4600,2023-01-30T21:55:09.442+03:00,   0.178E-02,   9.50751,   0.343E+04
   4700,2023-01-30T21:56:25.158+03:00,   0.194E-02,   9.69743,   0.351E+04
   4800,2023-01-30T21:57:41.071+03:00,   0.191E-02,   9.87874,   0.359E+04
   4900,2023-01-30T21:58:57.071+03:00,   0.194E-02,  10.07602,   0.366E+04
   5000,2023-01-30T22:00:13.355+03:00,   0.189E-02,  10.26901,   0.374E+04
   5100,2023-01-30T22:01:29.771+03:00,   0.181E-02,  10.45297,   0.381E+04
   5200,2023-01-30T22:02:45.991+03:00,   0.194E-02,  10.65694,   0.389E+04
   5300,2023-01-30T22:04:02.164+03:00,   0.194E-02,  10.85082,   0.397E+04
   5400,2023-01-30T22:05:18.473+03:00,   0.186E-02,  11.05929,   0.404E+04
   5500,2023-01-30T22:06:34.781+03:00,   0.202E-02,  11.24962,   0.412E+04
   5600,2023-01-30T22:07:51.377+03:00,   0.200E-02,  11.43653,   0.419E+04
